,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
2047,2048,8256453,K02573.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,1.347512632,1.114e-06,-1.114e-06,132.127858,0.000724,-0.000724,1.252,5.907,-0.034,1.9817,0.03,-0.03,2651.8,34.5,-34.5,23.45,2.46,-2.47,1346.0,,,775.18,311.13,-236.82,88.7,1.0,q1_q17_dr25_tce,5316.0,186.0,-186.0,4.585,0.083,-0.053,0.685,0.072,-0.072,298.77756,44.119942,15.894
6364,6365,8552607,K05542.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,1.061934307,1.502e-06,-1.502e-06,131.72621999999998,0.00125,-0.00125,1.181,0.404,-0.104,3.211,0.0616,-0.0616,264.8,4.5,-4.5,18.7,5.41,-1.81,1696.0,,,1958.71,1617.01,-542.48,70.9,1.0,q1_q17_dr25_tce,5853.0,139.0,-174.0,4.544,0.036000000000000004,-0.204,0.868,0.251,-0.084,288.92142,44.635181,14.286
7306,7307,3342952,K03215.01,,FALSE POSITIVE,FALSE POSITIVE,0.005,0,0,1,0,1.039046871,8.411e-06,-8.411e-06,131.54272,0.00693,-0.00693,0.096,0.368,-0.096,1.689,0.207,-0.207,24.4,3.2,-3.2,0.48,0.1,-0.07,1774.0,,,2348.45,1421.05,-768.84,9.3,1.0,q1_q17_dr25_tce,5689.0,152.0,-152.0,4.422,0.10400000000000001,-0.138,0.976,0.197,-0.131,291.65018,38.40937,12.023
4151,4152,8652360,K04562.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,0.96807117,4.903e-06,-4.903e-06,132.44697,0.00502,-0.00502,0.53,0.025,-0.468,1.677,0.124,-0.124,104.8,8.1,-8.1,0.72,0.12,-0.05,1487.0,,,1157.58,577.08,-273.07,15.4,2.0,q1_q17_dr25_tce,5367.0,160.0,-160.0,4.638999999999999,0.032,-0.091,0.687,0.106,-0.049,300.23587000000003,44.76952,15.247
274,275,8605074,K00915.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,37.601661281999995,5.79e-06,-5.79e-06,194.71338300000002,0.000123,-0.000123,0.408,0.004,-0.005,8.30604,0.00855,-0.00855,59130.0,43.7,-43.7,27.22,8.22,-4.42,606.0,,,31.86,28.15,-12.3,1667.3,1.0,q1_q17_dr25_tce,6140.0,164.0,-201.0,4.354,0.124,-0.201,1.096,0.331,-0.178,282.30602999999996,44.714661,15.505
6229,6230,5113146,K05127.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,18.78970984,2.581e-05,-2.581e-05,143.82465,0.00185,-0.00185,1.172,0.135,-0.12,4.13997,0.00971,-0.00971,40789.0,96.0,-96.0,44.01,8.82,-5.87,752.0,,,75.6,46.95,-25.98,488.7,1.0,q1_q17_dr25_tce,6477.0,194.0,-214.0,4.439,0.135,-0.165,0.884,0.177,-0.118,295.40698,40.242409,15.115
3250,3251,7445445,K00567.03,Kepler-184 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,29.02235217,8.627e-05,-8.627e-05,198.37025,0.00242,-0.00242,0.902,0.008,-0.667,4.0263,0.087,-0.087,637.6,16.6,-16.6,2.55,0.66,-0.29,559.0,,,23.06,17.66,-6.75,41.4,3.0,q1_q17_dr25_tce,5788.0,155.0,-155.0,4.524,0.06,-0.18,0.848,0.221,-0.095,291.9519,43.074711,14.338
3400,3401,10386984,K00739.01,Kepler-658 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,1.287076693,1.2e-06,-1.2e-06,169.81549099999998,0.000744,-0.000744,0.003,0.417,-0.003,1.4942,0.0279,-0.0279,729.4,13.7,-13.7,1.39,0.08,-0.12,871.0,,,135.97,28.56,-32.19,65.2,1.0,q1_q17_dr25_tce,3736.0,75.0,-84.0,4.724,0.046,-0.021,0.525,0.03,-0.045,282.9838,47.578590000000005,15.488
2998,2999,10717241,K00430.01,Kepler-551 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.37646897,1.383e-05,-1.383e-05,179.404945,0.000869,-0.000869,0.468,0.347,-0.276,2.7075,0.0376,-0.0376,1709.0,23.8,-23.8,2.53,0.12,-0.11,483.0,,,12.87,2.37,-2.07,81.2,1.0,q1_q17_dr25_tce,4200.0,84.0,-84.0,4.664,0.022000000000000002,-0.025,0.607,0.028,-0.028,285.48505,48.054321,14.897
6389,6390,8570210,K05545.01,,CANDIDATE,CANDIDATE,,0,0,0,0,541.04472,0.02119,-0.02119,372.4781,0.0277,-0.0277,0.2387,0.2201,-0.2387,12.47,1.1,-1.1,181.5,21.9,-21.9,1.08,0.48,-0.07,206.0,,,0.43,0.56,-0.1,8.8,1.0,q1_q16_tce,5829.0,156.0,-144.0,4.575,0.03,-0.3,0.802,0.354,-0.058,295.59698,44.613892,13.607000000000001
4506,4507,8973285,K04782.01,,CANDIDATE,CANDIDATE,,0,0,0,0,7.4213444,0.0001055,-0.0001055,137.493,0.0118,-0.0118,0.1732,0.2917,-0.1732,2.361,0.348,-0.348,315.9,44.5,-44.5,1.73,0.69,-0.16,953.0,,,195.23,228.96,-57.16,8.7,,,6032.0,167.0,-222.0,4.485,0.045,-0.284,0.973,0.385,-0.091,297.9487,45.255039000000004,15.85
