,rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
2872,2873,8845026,K00044.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,66.46746217,3.003e-05,-3.003e-05,160.47651000000002,0.000358,-0.000358,0.116,0.039,-0.078,19.6638,0.0232,-0.0232,12644.0,14.2,-14.2,11.97,3.43,-1.57,466.0,,,11.18,9.72,-3.86,1049.3,1.0,q1_q17_dr25_tce,5843.0,182.0,-203.0,4.4030000000000005,0.087,-0.203,1.073,0.307,-0.141,300.15186,45.089611,13.482999999999999
8535,8536,9490342,K07180.01,,CANDIDATE,CANDIDATE,,0,0,0,0,487.83894,0.06753,-0.06753,606.1226,0.0192,-0.0192,0.1252,0.3226,-0.1252,32.77,1.5,-1.5,453.3,42.6,-42.6,3.94,2.55,-1.93,298.0,,,1.88,3.96,-1.46,8.8,1.0,q1_q17_dr24_tce,5421.0,189.0,-179.0,3.8819999999999997,0.539,-0.539,1.877,1.215,-0.922,300.13855,46.061690999999996,13.728
3286,3287,10460984,K00474.01,Kepler-164 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.94577783,2.017e-05,-2.017e-05,176.71833999999998,0.00144,-0.00144,0.819,0.029,-0.571,3.0937,0.0445,-0.0445,532.8,11.1,-11.1,2.84,0.46,-0.38,881.0,,,142.23,64.44,-43.58,52.5,1.0,q1_q17_dr25_tce,5888.0,106.0,-117.0,4.342,0.115,-0.115,1.097,0.179,-0.146,287.78085,47.629909999999995,14.282
1055,1056,9636135,K01498.01,Kepler-864 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,5.83376197,1.816e-05,-1.816e-05,138.74892,0.0026,-0.0026,0.742,0.183,-0.528,3.9988,0.0877,-0.0877,532.9,15.5,-15.5,2.98,0.88,-0.35,1143.0,,,403.49,350.26,-138.25,36.6,1.0,q1_q17_dr25_tce,6213.0,173.0,-259.0,4.387,0.06,-0.192,1.195,0.351,-0.14,285.0571,46.320679,15.776
4979,4980,7772914,K03339.01,,CANDIDATE,CANDIDATE,0.999,0,0,0,0,23.1334494,0.000108,-0.000108,154.45296000000002,0.00394,-0.00394,0.954,0.006,-0.662,3.602,0.114,-0.114,456.3,23.6,-23.6,2.55,0.79,-0.47,638.0,,,39.2,36.7,-15.98,21.6,1.0,q1_q17_dr25_tce,5712.0,170.0,-170.0,4.382,0.18899999999999997,-0.231,0.932,0.291,-0.17,297.75192000000004,43.447578,14.655999999999999
3941,3942,9593773,K04240.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,3.1339356,2.005e-05,-2.005e-05,133.5458,0.00589,-0.00589,0.768,0.201,-0.548,4.477,0.195,-0.195,203.7,11.0,-11.0,1.58,0.54,-0.17,1315.0,,,704.95,717.03,-229.75,21.4,1.0,q1_q17_dr25_tce,6137.0,193.0,-236.0,4.46,0.054000000000000006,-0.21600000000000003,1.018,0.341,-0.114,294.11237,46.252708,15.725
9347,9348,10515564,K08211.01,,CANDIDATE,CANDIDATE,0.266,0,0,0,0,5.0487451,0.0001005,-0.0001005,134.6825,0.0176,-0.0176,0.133,0.333,-0.132,4.007,0.454,-0.454,67.6,10.4,-10.4,0.67,0.15,-0.05,922.0,,,170.39,117.08,-41.29,7.7,1.0,q1_q17_dr25_tce,5450.0,164.0,-164.0,4.573,0.027999999999999997,-0.161,0.83,0.186,-0.062,282.05078,47.743992,14.811
8649,8650,8579684,K07594.01,,CANDIDATE,CANDIDATE,,0,0,0,0,2.08802799,2.365e-05,-2.365e-05,132.08475,0.00824,-0.00824,0.9865,0.0014,-0.0017,24.017,0.869,-0.869,70.8,2.1,-2.1,1.93,1.1,-0.49,2003.0,,,3806.17,6502.33,-1954.15,60.5,1.0,q1_q17_dr24_tce,6593.0,166.0,-213.0,4.117,0.18,-0.18,1.67,0.945,-0.426,298.20016,44.608501000000004,12.579
2225,2226,8544992,K02466.02,Kepler-388 c,CONFIRMED,CANDIDATE,0.94,0,0,0,0,13.2970695,0.0001073,-0.0001073,140.94606000000002,0.0054,-0.0054,0.03,0.414,-0.03,3.283,0.195,-0.195,219.7,16.5,-16.5,0.91,0.07,-0.08,515.0,,,16.64,5.13,-4.33,14.9,2.0,q1_q17_dr25_tce,4500.0,133.0,-133.0,4.632,0.048,-0.027999999999999997,0.633,0.05,-0.055,284.82802999999996,44.60873,14.993
1896,1897,3219995,K02314.01,Kepler-1187 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,18.87058705,6.734e-05,-6.734e-05,143.95639,0.0029,-0.0029,0.878,0.026,-0.64,3.4701,0.0799,-0.0799,588.0,23.6,-23.6,2.67,0.85,-0.28,701.0,,,56.97,54.48,-17.16,28.5,1.0,q1_q17_dr25_tce,6103.0,181.0,-200.0,4.496,0.04,-0.22899999999999998,0.949,0.303,-0.101,286.892,38.31855,14.562000000000001
1291,1292,7522911,K01705.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,20.4998763,0.0001716,-0.0001716,131.82068,0.00664,-0.00664,0.943,0.0,-0.7,6.501,0.142,-0.142,437.8,22.8,-22.8,2.8,0.92,-0.31,731.0,,,67.67,65.55,-21.1,21.1,1.0,q1_q17_dr25_tce,6249.0,174.0,-217.0,4.428,0.067,-0.20199999999999999,1.076,0.353,-0.118,290.32651,43.121829999999996,15.442
6492,6493,10618044,K05815.01,,CANDIDATE,CANDIDATE,,0,0,0,0,207.767894,0.007029,-0.007029,224.425,0.0251,-0.0251,0.6973,0.0202,-0.5293,5.21,1.6,-1.6,320.6,71.4,-71.4,3.52,2.61,-1.88,379.0,,,4.85,11.9,-3.93,7.7,1.0,q1_q16_tce,5210.0,176.0,-167.0,3.8939999999999997,0.604,-0.392,1.849,1.365,-0.989,298.06827000000004,47.867809,13.744000000000002
8925,8926,3858767,K06370.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,1,3.49550335,9.209e-05,-9.209e-05,132.0754,0.0277,-0.0277,0.0843,0.3691,-0.0842,3.799,0.451,-0.451,60.9,8.2,-8.2,0.66,0.26,-0.05,1081.0,,,322.8,382.84,-73.27,9.6,1.0,q1_q17_dr24_tce,5582.0,152.0,-139.0,4.551,0.027999999999999997,-0.027999999999999997,0.85,0.341,-0.064,293.66177000000005,38.964748,14.248
3684,3685,7100673,K04032.02,Kepler-1542 c,CONFIRMED,CANDIDATE,0.993,0,0,0,0,2.89223998,1.616e-05,-1.616e-05,132.86231999999998,0.00457,-0.00457,0.017,0.431,-0.016,2.521,0.121,-0.121,44.3,2.9,-2.9,0.7,0.11,-0.1,1287.0,,,647.55,288.6,-202.95,17.3,4.0,q1_q17_dr25_tce,5574.0,111.0,-100.0,4.354,0.132,-0.10800000000000001,1.065,0.166,-0.15,285.72848999999997,42.65453,12.639000000000001
4230,4231,7598111,K04507.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,1,1,132.778041,0.002066,-0.002066,188.4972,0.0117,-0.0117,0.735,0.2496,-0.5226,5.624,0.443,-0.443,9036.0,994.0,-994.0,10.38,0.0,0.0,357.0,,,3.83,0.0,0.0,10.6,1.0,q1_q17_dr24_tce,5780.0,,,4.438,,,1.0,,,288.53769,43.258904,13.34
6941,6942,10718726,K00600.02,,CANDIDATE,CANDIDATE,,0,0,0,0,294.055263,0.007495,-0.007495,421.853,0.0149,-0.0149,0.0617,0.3971,-0.0617,14.32,0.377,-0.377,770.0,39.7,-39.7,2.8,1.29,-0.26,288.0,,,1.64,2.21,-0.47,21.1,2.0,q1_q16_tce,6108.0,152.0,-200.0,4.453,0.049,-0.308,1.011,0.465,-0.095,286.24982,48.06094,14.827
2335,2336,12602314,K02853.01,,CANDIDATE,CANDIDATE,0.992,0,0,0,0,1.4070201180000002,4.371e-06,-4.371e-06,131.60897,0.00247,-0.00247,0.167,0.284,-0.167,1.3766,0.0843,-0.0843,181.9,11.5,-11.5,1.12,0.04,-0.09,1350.0,,,782.45,120.58,-160.93,18.9,1.0,q1_q17_dr25_tce,5022.0,82.0,-82.0,4.485,0.083,-0.027999999999999997,0.849,0.034,-0.067,290.43323,51.626041,14.946
5062,5063,8424002,K03497.01,Kepler-1512 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.35971899,5.479e-05,-5.479e-05,134.29123,0.00218,-0.00218,0.925,0.005,-0.693,2.1521,0.0621,-0.0621,345.7,15.2,-15.2,0.8,0.12,-0.16,276.0,,,1.38,0.58,-0.58,26.8,1.0,q1_q17_dr25_tce,3419.0,67.0,-76.0,4.904,0.084,-0.052000000000000005,0.344,0.051,-0.07,289.27451,44.470321999999996,13.392999999999999
4239,4240,4750669,K04649.01,,CANDIDATE,CANDIDATE,0.842,0,0,0,0,3.38419892,2.486e-05,-2.486e-05,131.9355,0.00583,-0.00583,0.176,0.286,-0.176,1.485,0.262,-0.262,228.2,24.5,-24.5,1.2,0.27,-0.11,1074.0,,,313.79,213.58,-84.77,11.5,1.0,q1_q17_dr25_tce,5613.0,152.0,-169.0,4.581,0.038,-0.152,0.795,0.182,-0.073,292.96661,39.899639,15.446
5193,5194,8047283,K03760.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.77544539,2.74e-07,-2.74e-07,132.072938,0.000327,-0.000327,1.272,1.84,-0.126,1.8764,0.0146,-0.0146,6791.4,41.2,-41.2,35.53,11.25,-3.74,1883.0,,,2974.07,2868.98,-910.38,205.1,1.0,q1_q17_dr25_tce,5861.0,186.0,-206.0,4.546,0.037000000000000005,-0.213,0.865,0.274,-0.091,297.55621,43.854988,15.64
9133,9134,9943435,K02788.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.777663575,1.541e-06,-1.541e-06,131.52537,0.00159,-0.00159,0.204,0.248,-0.204,1.1741,0.0518,-0.0518,134.3,5.8,-5.8,0.95,0.24,-0.09,1816.0,,,2553.18,1961.51,-646.43,28.1,1.0,q1_q17_dr25_tce,5769.0,155.0,-155.0,4.57,0.033,-0.187,0.812,0.212,-0.071,288.03152,46.827549,14.397
3549,3550,10002866,K00723.01,Kepler-222 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.9369931439999997,4.457e-06,-4.457e-06,169.650592,0.000903,-0.000903,0.801,0.08,-0.555,1.887,0.0387,-0.0387,1266.0,24.6,-24.6,3.36,0.74,-0.25,1004.0,,,240.16,162.89,-57.82,59.3,2.0,q1_q17_dr25_tce,5431.0,164.0,-164.0,4.563,0.028999999999999998,-0.152,0.843,0.186,-0.062,287.9061,46.937771000000005,15.062999999999999
6287,6288,6346894,K05264.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,52.69092296,,,138.799777,,,,,,2.31,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,285.14172,41.711552000000005,12.357999999999999
2834,2835,10878263,K00341.02,Kepler-414 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.699652821,8.477e-06,-8.477e-06,177.61518999999998,0.00136,-0.00136,0.135,0.298,-0.135,2.553,0.0457,-0.0457,351.4,9.4,-9.4,1.74,0.2,-0.17,1024.0,,,260.54,91.02,-62.25,41.6,2.0,q1_q17_dr25_tce,5497.0,109.0,-98.0,4.437,0.09,-0.09,0.941,0.11,-0.09,297.96155,48.244362,13.338
1181,1182,7939330,K01581.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,29.5422566,0.0002958,-0.0002958,137.57837,0.00871,-0.00871,0.959,0.011,-0.008,13.902,0.522,-0.522,879.9,33.1,-33.1,3.15,0.73,-0.25,515.0,,,16.56,11.85,-3.95,39.5,1.0,q1_q17_dr25_tce,5510.0,166.0,-149.0,4.572,0.038,-0.152,0.803,0.188,-0.063,282.43917999999996,43.734482,15.481
8590,8591,5534476,K06595.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,1.02547271,1.065e-05,-1.065e-05,131.6002,0.0103,-0.0103,0.651,0.015,-0.504,1.996,0.278,-0.278,27.0,3.3,-3.3,0.94,0.15,-0.15,2657.0,,,11800.82,4840.19,-3967.44,10.9,2.0,q1_q17_dr25_tce,6862.0,72.0,-92.0,4.114,0.132,-0.10800000000000001,1.712,0.279,-0.279,292.11362,40.792179,12.407
2933,2934,6677841,K01236.04,,CANDIDATE,CANDIDATE,0.94,0,0,0,0,98.353149,0.001793,-0.001793,217.883,0.0139,-0.0139,0.906,0.029,-0.623,24.708,0.658,-0.658,423.0,14.4,-14.4,4.13,0.69,-0.92,552.0,,,21.96,10.24,-9.67,30.5,3.0,q1_q17_dr25_tce,6366.0,116.0,-116.0,4.045,0.196,-0.098,1.697,0.285,-0.38,287.3912,42.194832,13.659
8183,8184,11027722,K07402.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,0.678137665,1.47e-07,-1.47e-07,132.13836899999998,0.000184,-0.000184,1.263,1.109,-0.162,1.00718,0.00672,-0.00672,885.0,2.8,-2.8,30.37,7.8,-3.35,2274.0,,,6364.7,4816.99,-1957.19,172.7,1.0,q1_q17_dr25_tce,6429.0,173.0,-211.0,4.449,0.081,-0.175,0.942,0.242,-0.104,290.90582,48.531811,14.290999999999999
4828,4829,3348216,K03448.01,,CANDIDATE,CANDIDATE,0.982,0,0,0,0,32.510844,0.0002498,-0.0002498,136.62491,0.00636,-0.00636,0.421,0.036,-0.421,3.254,0.2,-0.2,361.9,32.8,-32.8,2.62,0.44,-0.39,680.0,,,50.56,22.15,-16.23,12.6,1.0,q1_q17_dr25_tce,6074.0,81.0,-90.0,4.244,0.125,-0.125,1.358,0.228,-0.205,292.96008,38.431430999999996,14.863
1091,1092,8197343,K01746.01,Kepler-946 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,11.79161234,5.355e-05,-5.355e-05,134.54064,0.00386,-0.00386,0.034,0.404,-0.034,3.036,0.11,-0.11,415.4,22.6,-22.6,2.41,0.38,-0.42,857.0,,,127.75,52.51,-44.88,20.7,1.0,q1_q17_dr25_tce,5619.0,75.0,-75.0,4.263999999999999,0.162,-0.10800000000000001,1.199,0.188,-0.207,300.9296,44.02879,14.940999999999999
6975,6976,3634051,K06103.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,453.54212,0.003501,-0.003501,360.0617,0.00473,-0.00473,0.633,0.219,-0.405,17.026,0.24,-0.24,861.0,18.6,-18.6,9.23,1.76,-4.1,390.0,,,5.45,2.74,-3.85,48.8,1.0,q1_q17_dr25_tce,5874.0,87.0,-79.0,3.6639999999999997,0.375,-0.125,3.006,0.572,-1.335,287.97546,38.74028,13.436
605,606,9820483,K00953.01,Kepler-740 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.584101048,1.916e-06,-1.916e-06,170.427829,0.000422,-0.000422,0.045,0.319,-0.045,2.7316,0.0206,-0.0206,2608.1,18.1,-18.1,4.66,1.34,-0.44,1131.0,,,386.66,332.86,-109.75,166.3,1.0,q1_q17_dr25_tce,5739.0,171.0,-188.0,4.518,0.048,-0.204,0.922,0.264,-0.088,286.48227,46.692451,15.954
9012,9013,10735575,K08214.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,1.6749812,1.798e-05,-1.798e-05,131.79288,0.00924,-0.00924,0.382,0.077,-0.382,2.707,0.411,-0.411,94.0,13.1,-13.1,79.51,10.46,-19.41,8986.0,,,1540745.8,561012.86,-715515.02,8.9,1.0,q1_q17_dr25_tce,3940.0,63.0,-63.0,0.76,0.13699999999999998,-0.11199999999999999,84.461,11.105,-20.623,293.57895,48.00602,11.709000000000001
8416,8417,8891684,K05581.01,Kepler-1634 b,CONFIRMED,CANDIDATE,0.968,0,0,0,0,374.878133,0.007791,-0.007791,491.064,0.00929,-0.00929,0.626,0.311,-0.394,10.556,0.401,-0.401,914.6,48.1,-48.1,4.27,1.07,-1.18,282.0,,,1.49,1.15,-0.8,21.9,1.0,q1_q17_dr25_tce,5636.0,171.0,-171.0,4.218,0.214,-0.156,1.354,0.341,-0.375,294.0434,45.139778,14.508
7175,7176,8230809,K06055.01,,FALSE POSITIVE,FALSE POSITIVE,0.429,0,1,0,0,4.078355243,2.454e-06,-2.454e-06,132.160073,0.00051,-0.00051,0.368,0.047,-0.033,6.4649,0.0422,-0.0422,36133.0,141.0,-141.0,16.73,4.26,-1.97,1113.0,,,362.07,280.03,-115.8,310.0,1.0,q1_q17_dr25_tce,5872.0,177.0,-195.0,4.481,0.091,-0.16899999999999998,0.867,0.221,-0.102,290.89172,44.16885,14.936
3682,3683,3228986,K04031.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.7309494870000001,5.2529999999999995e-06,-5.2529999999999995e-06,132.22503,0.00636,-0.00636,0.86,0.07,-0.582,2.367,0.214,-0.214,87.3,7.0,-7.0,1.27,0.22,-0.09,2311.0,,,6730.38,2829.55,-1243.47,15.8,1.0,q1_q17_dr25_tce,6238.0,68.0,-87.0,4.365,0.04,-0.12,1.191,0.198,-0.085,289.80322,38.366692,14.184000000000001
6324,6325,7598326,K05402.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,403.5637828,,,424.86978250000004,,,,,,3.64,,,,,,,,,,,,,,,,1.0,q1_q16_tce,,,,,,,,,,288.63306,43.205311,15.015999999999998
1592,1593,2438513,K01944.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,12.18420006,4.127e-05,-4.127e-05,139.05643999999998,0.00282,-0.00282,0.746,0.035,-0.533,2.5014,0.0863,-0.0863,499.3,22.5,-22.5,2.59,0.39,-0.29,819.0,,,106.52,44.98,-29.08,23.3,1.0,q1_q17_dr25_tce,5771.0,104.0,-115.0,4.374,0.105,-0.105,1.068,0.161,-0.12,290.32867000000005,37.72311,13.982000000000001
5831,5832,7516809,K03133.01,,FALSE POSITIVE,FALSE POSITIVE,,0,0,0,0,0.241842544,3.27e-07,-3.27e-07,131.86819,0.00111,-0.00111,0.3064,0.149,-0.3063,0.7257,0.0513,-0.0513,203.3,10.5,-10.5,1.16,0.4,-0.09,2689.0,,,12357.89,12283.45,-2935.33,29.3,,,5834.0,152.0,-161.0,4.577,0.031,-0.223,0.797,0.272,-0.061,288.24615,43.135841,15.525
2810,2811,5440317,K03141.01,Kepler-1438 b,CONFIRMED,CANDIDATE,0.893,0,0,0,0,2.31941571,1.601e-05,-1.601e-05,131.93925,0.0054,-0.0054,0.429,0.06,-0.405,1.591,0.155,-0.155,96.4,10.2,-10.2,1.24,0.2,-0.2,1490.0,,,1164.84,496.62,-391.39,11.7,1.0,q1_q17_dr25_tce,5624.0,76.0,-76.0,4.256,0.14300000000000002,-0.11699999999999999,1.248,0.203,-0.203,289.28979,40.681671,14.869000000000002
5617,5618,3228804,K03996.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.730947169,1.924e-06,-1.924e-06,132.22191999999998,0.00234,-0.00234,1.143,0.209,-0.094,4.396,0.176,-0.176,248.0,6.4,-6.4,14.43,3.08,-1.22,1777.0,,,2349.48,1543.42,-607.86,49.1,1.0,q1_q17_dr25_tce,5514.0,166.0,-166.0,4.569,0.036000000000000004,-0.14400000000000002,0.826,0.176,-0.07,289.76114,38.353519,15.01
1534,1535,2449431,K02009.01,,CANDIDATE,CANDIDATE,0.936,0,0,0,0,86.7490807,0.0005499,-0.0005499,170.29281,0.00472,-0.00472,0.003,0.406,-0.003,9.179,0.135,-0.135,547.1,17.3,-17.3,2.23,0.31,-0.22,398.0,,,5.94,2.35,-1.45,35.7,1.0,q1_q17_dr25_tce,5579.0,111.0,-100.0,4.419,0.1,-0.1,0.97,0.132,-0.096,292.77398999999997,37.797691,13.82
3512,3513,7040629,K00671.03,Kepler-208 e,CONFIRMED,CANDIDATE,0.992,0,0,0,0,16.25951967,9.871e-05,-9.871e-05,144.53203,0.00555,-0.00555,0.374,0.067,-0.374,3.854,0.146,-0.146,129.5,7.1,-7.1,1.72,0.3,-0.37,880.0,,,142.1,68.46,-61.14,19.6,3.0,q1_q17_dr25_tce,5966.0,107.0,-119.0,4.169,0.162,-0.10800000000000001,1.499,0.262,-0.321,293.8902,42.527966,13.749
2821,2822,10686814,K02978.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,2.61846258,1.948e-05,-1.948e-05,134.02945,0.00558,-0.00558,0.013,0.448,-0.013,3.505,0.248,-0.248,275.3,17.8,-17.8,1.03,0.06,-0.09,843.0,,,119.68,30.53,-31.98,18.7,1.0,q1_q17_dr25_tce,4266.0,128.0,-128.0,4.626,0.048,-0.021,0.643,0.036,-0.058,299.03448,47.90485,15.593
3497,3498,6960445,K00669.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,5.07437786,1.095e-05,-1.095e-05,171.56544,0.00166,-0.00166,1.21,2.515,-0.11,5.942,0.0836,-0.0836,605.7,8.2,-8.2,23.71,6.24,-2.69,1008.0,,,244.04,188.99,-71.91,86.6,1.0,q1_q17_dr25_tce,5661.0,152.0,-152.0,4.48,0.062,-0.188,0.919,0.242,-0.104,295.19562,42.417068,13.842
9534,9535,10079317,K08194.01,,FALSE POSITIVE,FALSE POSITIVE,0.024,1,0,0,0,236.25776888,,,153.9570927,,,0.085,,,3.3549,,,168.4,,,2.69,0.55,-0.83,460.0,,,10.61,6.41,-6.11,5.3,1.0,q1_q17_dr25_tce,6645.0,167.0,-200.0,3.952,0.266,-0.114,2.054,0.421,-0.632,293.50534,47.018719,12.885
7550,7551,11359305,K07441.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,28.487107335999998,5.0439999999999995e-06,-5.0439999999999995e-06,132.872485,0.00014,-0.00014,1.175,0.032,-0.033,3.7788699999999995,0.007090000000000001,-0.007090000000000001,37663.0,60.3,-60.3,116.84,21.61,-40.12,963.0,,,202.98,110.67,-124.62,658.2,1.0,q1_q17_dr25_tce,6351.0,154.0,-173.0,3.8139999999999996,0.285,-0.095,2.385,0.441,-0.819,295.98427999999996,49.130249,13.363
6738,6739,8429817,K05515.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,6.2634918729999995,7.32e-06,-7.32e-06,134.897906,0.000971,-0.000971,0.048,0.41,-0.048,0.8513,0.0432,-0.0432,2829.0,110.0,-110.0,6.46,1.78,-1.46,1180.0,,,458.5,373.16,-218.54,35.1,1.0,q1_q17_dr25_tce,6247.0,170.0,-207.0,4.255,0.214,-0.175,1.194,0.33,-0.27,291.45227,44.431751,13.952
8785,8786,4565985,K06424.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,17.51191534,9.575e-05,-9.575e-05,134.39065,0.00457,-0.00457,0.008,0.929,-0.008,5.678,0.918,-0.918,728.8,42.2,-42.2,52.64,26.66,-11.43,2246.0,,,6014.16,9891.63,-2666.95,41.0,1.0,q1_q17_dr25_tce,4029.0,157.0,-96.0,1.786,0.255,-0.255,20.888,10.581,-4.535,292.92682,39.613361,9.242
8386,8387,9357375,K07166.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,0,1,1.58826263,1.816e-05,-1.816e-05,132.19138999999998,0.00988,-0.00988,0.021,0.448,-0.021,2.655,0.316,-0.316,78.9,11.0,-11.0,0.47,0.03,-0.03,862.0,,,130.67,28.35,-25.5,8.5,1.0,q1_q17_dr25_tce,3931.0,78.0,-78.0,4.717,0.03,-0.03,0.544,0.033,-0.036,297.23355,45.843262,15.455
5332,5333,5215980,K03866.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.531140101,5.524e-06,-5.524e-06,132.49471,0.00198,-0.00198,1.249,0.062,-0.055,20.399,0.222,-0.222,11786.0,53.2,-53.2,32.12,5.65,-2.44,1100.0,,,346.06,202.59,-89.57,304.2,1.0,q1_q17_dr25_tce,5325.0,185.0,-185.0,4.607,0.035,-0.11199999999999999,0.75,0.132,-0.057,298.57937999999996,40.365108,15.209000000000001
7404,7405,5781192,K06626.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,9.459993212999999,4.48e-07,-4.48e-07,138.3433458,3.86e-05,-3.86e-05,0.743,0.011,-0.027,5.3012,0.00195,-0.00195,237600.0,38.5,-38.5,51.89,11.77,-4.69,766.0,,,81.31,54.69,-20.96,3164.4,1.0,q1_q17_dr25_tce,5569.0,149.0,-149.0,4.566,0.038,-0.152,0.829,0.188,-0.075,288.69742,41.059231,12.989
5877,5878,7613246,K03062.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,0.769127296,2.344e-06,-2.344e-06,131.56425,0.00236,-0.00236,0.067,0.402,-0.067,0.998,0.0845,-0.0845,114.6,9.5,-9.5,0.9,0.25,-0.07,1917.0,,,3179.14,2713.42,-747.27,17.0,1.0,q1_q17_dr25_tce,6024.0,179.0,-179.0,4.561,0.036000000000000004,-0.204,0.831,0.236,-0.059,293.57122999999996,43.28648,14.98
5577,5578,9655129,K01714.01,,CANDIDATE,CANDIDATE,0.554,0,1,0,0,2.743978797,9.484e-06,-9.484e-06,133.76412,0.00295,-0.00295,1.138,10.12,-0.191,6.442,0.205,-0.205,39994.0,914.0,-914.0,38.11,5.7,-5.17,1136.0,,,392.49,190.67,-129.55,56.5,1.0,q1_q17_dr25_tce,5334.0,159.0,-143.0,4.492,0.11,-0.099,0.81,0.121,-0.11,294.24811,46.374008,13.805
9145,9146,7117050,K08135.01,,FALSE POSITIVE,FALSE POSITIVE,0.114,1,0,0,0,73.836858,0.002898,-0.002898,174.0088,0.0217,-0.0217,0.8,0.074,-0.542,19.722,0.838,-0.838,231.2,20.7,-20.7,25.09,1.17,-6.64,1143.0,,,403.37,60.07,-212.02,13.1,3.0,q1_q17_dr25_tce,4769.0,57.0,-154.0,2.583,0.033,-0.027000000000000003,14.706,0.687,-3.89,291.55719,42.694649,10.995999999999999
5563,5564,7762723,K02663.01,,CANDIDATE,CANDIDATE,1.0,0,0,0,0,9.88736642,8.5e-05,-8.5e-05,139.52781000000002,0.00695,-0.00695,0.383,0.069,-0.383,4.23,0.204,-0.204,68.0,5.4,-5.4,0.68,0.17,-0.06,768.0,,,82.32,60.72,-20.62,14.6,1.0,q1_q17_dr25_tce,5693.0,136.0,-153.0,4.57,0.032,-0.179,0.816,0.21,-0.07,294.99725,43.435921,13.460999999999999
2154,2155,6864893,K02375.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,40.8792243,0.0003947,-0.0003947,163.41583,0.00807,-0.00807,0.79,0.151,-0.563,7.005,0.207,-0.207,413.6,20.2,-20.2,1.62,0.25,-0.14,437.0,,,8.59,4.37,-2.21,23.4,1.0,q1_q17_dr25_tce,5383.0,160.0,-160.0,4.609,0.039,-0.091,0.72,0.114,-0.061,292.36026,42.398022,14.923
